,Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score,Net Earnings
0,Intolerance: Love's Struggle Throughout the Ages ,1916,Drama|History|War,3,USA,Not Rated,123,1.33,385907.0,3.0,D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,204,436,22,9.0,481,691,1,10718,88,69.0,8.0,-385904.0
1,Over the Hill to the Poorhouse ,1920,Crime|Drama,3,USA,3,110,1.33,100000.0,3000000.0,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,0,2,2,0.0,4,0,1,5,1,1.0,4.8,2900000.0
2,The Big Parade ,1925,Drama|Romance|War,3,USA,Not Rated,151,1.33,245000.0,3.0,King Vidor,John Gilbert,Renée Adorée,Claire Adams,54,81,12,6.0,108,226,0,4849,45,48.0,8.3,-244997.0
3,Metropolis ,1927,Drama|Sci-Fi,German,Germany,Not Rated,145,1.33,6000000.0,26435.0,Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,756,136,23,18.0,203,12000,1,111841,413,260.0,8.3,-5973565.0
4,Pandora's Box ,1929,Crime|Drama|Romance,German,Germany,Not Rated,110,1.33,3.0,9950.0,Georg Wilhelm Pabst,Louise Brooks,Francis Lederer,Fritz Kortner,21,426,20,3.0,455,926,1,7431,84,71.0,8.0,9947.0
5,The Broadway Melody ,1929,Musical|Romance,English,USA,Passed,100,1.37,379000.0,2808000.0,Harry Beaumont,Anita Page,Bessie Love,Charles King,4,77,28,4.0,109,167,8,4546,71,36.0,6.3,2429000.0
6,Hell's Angels ,1930,Drama|War,English,USA,Passed,96,1.2,3950000.0,3.0,Howard Hughes,Jean Harlow,Marian Marsh,James Hall,177,431,12,4.0,457,279,1,3753,53,35.0,7.8,-3949997.0
7,A Farewell to Arms ,1932,Drama|Romance|War,English,USA,Unrated,79,1.37,800000.0,3.0,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,57,998,164,99.0,1284,213,1,3519,46,42.0,6.6,-799997.0
8,42nd Street ,1933,Comedy|Musical|Romance,English,USA,Unrated,89,1.37,439000.0,2300000.0,Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,24,610,105,45.0,995,439,2,7921,97,65.0,7.7,1861000.0
9,She Done Him Wrong ,1933,Comedy|Drama|History|Musical|Romance,English,USA,Approved,66,1.37,200000.0,3.0,Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,16,418,85,28.0,583,328,1,4152,59,35.0,6.5,-199997.0
10,It Happened One Night ,1934,Comedy|Romance,English,USA,Unrated,65,1.37,325000.0,3.0,Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,964,380,114,21.0,540,0,1,64888,235,124.0,8.2,-324997.0
11,Top Hat ,1935,Comedy|Musical|Romance,English,USA,Approved,81,1.37,609000.0,3000000.0,Mark Sandrich,Ginger Rogers,Edward Everett Horton,Eric Blore,10,610,172,23.0,824,1000,2,13269,98,66.0,7.8,2391000.0
12,Modern Times ,1936,Comedy|Drama|Family,English,USA,G,87,1.37,1500000.0,163245.0,Charles Chaplin,Paulette Goddard,Stanley Blystone,Fred Malatesta,0,309,8,8.0,352,0,1,143086,211,120.0,8.6,-1336755.0
